genes	AML1	AML2	AML3	AML4	AML5	AML6	AML7	AML8	AML9	AML10	AML11	AML12	AML13	AML14	AML15	AML16	AML17	AML18	AML19	AML20	AML21	AML22	AML23	AML24	AML25	AML26	count
PI15	NA	NA	NA	NA	NA	NA	NA	-0.6941285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.490079422	NA	3.008315726	NA	NA	3
PPL	NA	NA	NA	NA	NA	NA	NA	-0.574053056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.802061774	NA	NA	-2.956132907	NA	3
SIK1B	NA	NA	NA	NA	NA	NA	-0.772764028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.191715727	-2.354574881	NA	NA	NA	3
ADGRD1	NA	NA	NA	NA	NA	-1.277612381	NA	-0.982345204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.319282476	NA	NA	NA	3
CLIC5	NA	NA	NA	NA	NA	NA	NA	0.546859444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.840213226	NA	NA	4.821012861	3
EPHA7	NA	NA	NA	NA	NA	NA	0.842153222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.352455362	3.059953749	NA	NA	3
LGR5	NA	NA	NA	NA	NA	NA	NA	1.140981204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.935683799	NA	-2.366988033	NA	3
SFRP1	NA	NA	NA	-1.524850587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.503705773	NA	-1.942610862	NA	3
TNXB	NA	NA	NA	NA	NA	NA	NA	-0.524600565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.704863126	NA	-7.547153639	NA	3
TPTEP1	NA	NA	NA	NA	-1.180886794	NA	NA	NA	-0.894099423	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.684885615	NA	NA	NA	3
CALB2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.880014772	3.090828473	NA	-3.994332187	3
CELSR1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.602403647	NA	2.366877874	4.09577885	3
ENPP1	NA	NA	NA	-0.883864091	NA	NA	NA	-0.454721417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.549048509	NA	NA	NA	3
KIF26B	NA	NA	NA	NA	NA	NA	NA	1.119134222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.86250992	3.219008605	NA	NA	3
LINC01114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.356868944	3.431069302	5.861909809	NA	3
STEAP1	NA	NA	0.8852055	NA	NA	1.170507222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.131380401	NA	NA	NA	3
TENM2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.755389905	NA	4.012537339	5.10010932	3
ACOD1	NA	NA	NA	NA	NA	NA	-1.339716944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.432597846	NA	8.056789807	3
CALN1	NA	NA	NA	NA	NA	NA	NA	NA	-0.472936648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.934369975	NA	-4.130402314	3
DEPP1	NA	NA	NA	NA	NA	NA	NA	NA	0.436612296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.035815863	-1.915817402	NA	3
DUOXA1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.856652794	-2.188200495	5.453103847	3
GPC6	NA	NA	NA	-1.383622633	1.213655489	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.712850133	NA	NA	3
LINC01122	NA	NA	NA	NA	-0.808009238	NA	NA	NA	-0.800580867	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.435153457	NA	NA	3
NOVA1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.65176438	-2.051292282	4.025219765	3
NXPE2	NA	NA	NA	NA	NA	-2.378234444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.172836599	3.585127412	NA	3
PCTP	NA	NA	NA	-1.162042727	-0.97550714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.080033993	NA	NA	3
PTGER1	NA	NA	-0.856137722	NA	NA	NA	NA	-0.837939244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.040277538	NA	NA	3
PTN	NA	NA	-1.839506667	NA	NA	NA	NA	0.533292544	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.412457535	NA	NA	3
SLC8A3	NA	NA	NA	NA	NA	NA	NA	NA	-0.75585299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.556764265	NA	-5.137625337	3
SMTNL2	NA	NA	NA	NA	NA	NA	NA	0.442825722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.179565525	NA	4.211009466	3
CLDN1	NA	NA	NA	NA	NA	NA	-1.002557931	-1.804507587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.142168002	NA	3
DNAH8	NA	NA	NA	NA	NA	NA	1.167425472	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.818633121	7.473509096	3
ITGA3	NA	NA	NA	1.523352348	NA	NA	NA	0.473847907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.131874679	NA	3
LY6K	NA	NA	NA	NA	NA	NA	2.581772556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.720904611	-4.02279044	3
ZNF385D	NA	NA	NA	NA	NA	NA	NA	NA	-0.421128883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.88911292	-4.082354441	3
ADAMDEC1	NA	NA	NA	1.364083258	NA	NA	-0.872928	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.178142367	3
CXCL9	NA	NA	NA	2.108522254	NA	NA	-1.796086056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.6083513	3
SLIT2	NA	NA	-1.379728083	NA	NA	NA	NA	0.729568787	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.948747232	3
TLR2	NA	NA	NA	NA	NA	NA	-1.014591778	NA	0.690200051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.624929788	3
PRKG2	NA	NA	NA	NA	NA	NA	NA	0.677048806	-1.47904751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.894343208	3
TMEM163	NA	NA	NA	NA	-0.821993032	NA	NA	NA	-0.641712163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.117941768	3
MYEF2	NA	NA	-0.9149	NA	-0.960387142	NA	NA	NA	-0.644369301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
TF	NA	NA	NA	-1.639790038	NA	1.664725	-1.110532	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
UGGT2	NA	NA	NA	1.481960871	-0.947395278	NA	NA	NA	-0.419444005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
ACACB	NA	NA	NA	-1.133919886	-1.480056642	NA	NA	NA	-0.750023327	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
PCBD1	NA	NA	NA	NA	-0.830833616	NA	0.846586333	NA	-0.613552265	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
NAAA	NA	NA	NA	NA	NA	-1.507297778	-1.815903595	NA	0.478042602	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
HIF1A	NA	NA	NA	NA	NA	NA	-0.999838778	0.466882222	0.541653908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
PPP2R2B	3.511322111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.161627349	NA	NA	NA	2
DHX32	-2.396772111	NA	NA	NA	NA	NA	NA	NA	NA	-0.513176964	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
WDR54	-2.704194389	NA	NA	NA	-0.740121402	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
RPS23	-3.419871111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.674968889	NA	NA	NA	NA	NA	NA	NA	NA	2
CD96	3.174320056	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.603150422	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
EEF1A2	3.713972444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.049706062	NA	2
TCEAL9	-3.382626444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.133307351	NA	NA	NA	NA	NA	2
LTC4S	2.117302778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.428663049	NA	NA	NA	NA	NA	2
PAFAH1B1	-2.296203889	0.918023889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
MFSD3	3.348013556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.145831889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
DNAJC12	2.083381278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.64844798	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
CYB5A	-2.339824056	NA	NA	NA	NA	NA	NA	NA	NA	-0.508368149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
FDFT1	-1.767124111	-1.277385778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
RNPEP	2.070743833	NA	NA	1.035569318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
CYC1	1.351015389	-1.002934222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
WFDC1	2.075388556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.448849897	NA	2
DOCK1	-1.686438833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.777757344	NA	NA	2
EIF4B	-1.231081111	NA	NA	NA	NA	NA	NA	NA	-0.518812776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
ASH2L	1.235108611	NA	NA	NA	NA	NA	0.917648722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
EVPL	2.436794278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.877124402	NA	NA	NA	NA	2
PELI2	-2.344755667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.544652389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
MR1	1.687794778	NA	NA	NA	NA	NA	NA	-0.454979426	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
THEM6	1.9810675	-1.756247389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
HMGCS1	-2.408469167	-1.282348056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
ACAT1	1.887369667	-1.093236833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
TSPAN4	1.456083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.072113063	NA	NA	NA	NA	NA	NA	NA	2
ECHDC2	-3.068446778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.82484528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
MYO5C	-1.389341111	NA	NA	NA	NA	NA	NA	NA	-0.502382056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
CCM2L	1.462947778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.91831997	2
DNAJA4	-2.286024056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.395935772	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
AGTPBP1	1.208960889	NA	NA	NA	NA	NA	NA	NA	0.523020969	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
SOCS2	-2.515792056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.199641056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
BOP1	1.868526778	-0.957924778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
C14orf169	-2.331292889	-0.889155556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
ZSWIM7	-2.042284778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.319251944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
BEGAIN	1.552390833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.21693908	NA	2
ARHGAP21	-2.792698	NA	NA	NA	NA	NA	NA	NA	NA	-0.51981207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
PCCB	1.798435722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.121982167	NA	NA	NA	NA	NA	2
MT1X	3.254986222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.666020172	2
TMEM141	1.425484556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.962909917	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
TARP	3.412993278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.858873295	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
ACOT13	1.482608	NA	NA	0.978237386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
TTC39C	1.783881889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.804722083	NA	NA	NA	NA	NA	NA	NA	NA	2
FBXO5	1.400941778	NA	-1.300745806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
CHST13	-3.131614	-1.011892111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
CCDC26	1.591302056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.220599594	NA	NA	NA	NA	2
KDELC2	-2.407204722	-1.819369889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
WAS	1.198950333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.824697562	NA	NA	NA	NA	2
USP15	-1.430769556	NA	NA	NA	NA	NA	NA	NA	NA	-0.506909059	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
LYN	1.650710389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.244626875	NA	NA	NA	NA	2
CA8	1.223728667	NA	NA	NA	NA	NA	-0.9698328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
SOX18	2.456892222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.245547997	NA	NA	2
STK32B	-2.400665111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.579507974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NUDT3	1.113558278	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.342323936	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
VGF	-4.571903056	-3.262511333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
RAB3IL1	2.193946556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.754721984	NA	NA	NA	NA	NA	NA	2
FAR1	-1.174606833	NA	NA	NA	NA	NA	NA	NA	NA	-0.545418075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
PCDH10	2.171085889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.491033889	NA	NA	NA	NA	NA	NA	NA	NA	2
GINS4	1.185530333	NA	-1.689658556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
CD7	2.014674778	NA	NA	NA	NA	NA	-1.334727306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
E2F5	1.58716	NA	NA	0.870424091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
UCHL5	1.741888167	-1.161285389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NPW	-3.226474278	-3.338433	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
SNORD3A	1.165139778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.827195273	NA	NA	NA	NA	2
LDLR	-1.448462778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.509079074	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
BCL2L1	-1.095234944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.181759259	NA	NA	2
AUNIP	1.433987722	-1.034370833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
H2AFY	-1.169913111	-0.919622944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
RIPK2	1.636568222	NA	NA	NA	NA	NA	-1.039222278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
OIP5-AS1	1.643961611	-1.108851278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
SGO1	1.481018222	NA	NA	NA	NA	-2.017738333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
TBC1D31	1.604767944	-1.100954722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
TTC38	-1.519782556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.776465244	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NPHP3	-1.171060278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.29300325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
IFT27	-1.580292167	NA	NA	NA	NA	NA	0.860764833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
AEBP1	-1.984645333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.598337125	NA	NA	NA	NA	NA	NA	2
SLC30A7	-1.309706389	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.592984416	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
STAT1	1.421897389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9971096	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
KIF1A	2.043671111	1.621159222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
ALS2	-1.482199944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.635883133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
FNTA	2.318297389	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.485348876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
HDDC2	-1.470196722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.129054333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
CARHSP1	1.530478333	-1.412905278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
MFSD10	-1.275594222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.326569311	NA	NA	NA	NA	NA	2
YBX2	1.253231111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.38749389	2
SURF4	-1.1959875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.63751591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
TST	1.148926	NA	NA	NA	NA	NA	NA	NA	NA	-0.607900488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
CLDN15	-1.792323667	NA	NA	NA	NA	NA	1.135147028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
TM7SF2	-2.065799444	-2.029884111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
DPYSL2	-1.773594333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.182013281	NA	NA	NA	NA	NA	NA	2
PSMB8	1.162372389	-0.899334889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
MAD1L1	1.681239722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.627831436	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
CAT	-1.306986722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.743645571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
HLA-DMA	-1.800322333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.891956528	NA	NA	NA	NA	NA	NA	NA	NA	2
LDOC1L	-1.163376611	-0.896861444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
CYFIP2	-1.231518389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.842661344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
PURB	-1.156225833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.371195778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
RNF125	1.2431325	NA	NA	NA	NA	NA	NA	NA	NA	0.640501452	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
BCAT1	-1.143051611	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.085597222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
