genes	AML1	AML2	AML3	AML4	AML5	AML6	AML7	AML8	AML9	AML10	AML11	AML12	AML13	AML14	AML15	AML16	AML17	AML18	AML19	AML20	AML21	AML22	AML23	AML24	AML25	AML26	count
ID2	-2.010549889	NA	NA	-1.250031023	NA	-1.458581111	-1.154009417	NA	0.679643495	NA	NA	NA	NA	-2.014300555	-0.955536693	NA	NA	-0.626880556	NA	NA	NA	NA	NA	NA	NA	NA	8
CRIP1	NA	NA	NA	NA	1.476356798	NA	-0.982118722	NA	1.088416857	0.806991672	0.581104393	NA	NA	NA	2.724308518	NA	-1.840556187	NA	NA	NA	2.45980183	NA	NA	NA	NA	NA	8
ITGAX	NA	NA	NA	NA	NA	NA	-0.982787167	NA	0.728407974	0.739065355	NA	NA	3.950658179	-3.444539788	NA	NA	NA	NA	NA	-2.674401219	NA	3.073644111	NA	NA	NA	4.675427033	8
FPR1	NA	NA	1.942368972	NA	NA	NA	-2.328875889	NA	NA	NA	NA	NA	1.915589094	-5.448320348	NA	NA	NA	NA	-3.477049938	-4.290635906	NA	3.204840584	-3.554266748	NA	NA	NA	8
DENND3	2.944071222	NA	NA	NA	0.747761324	NA	NA	NA	0.585494255	0.513262959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.367235175	3.084708545	NA	NA	-2.195829119	NA	7
DYSF	2.160095056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.100542702	NA	NA	NA	0.470064375	NA	-3.632703281	NA	3.525576383	NA	NA	2.128462471	5.314353119	7
RASGRP3	-1.194516806	2.349772222	NA	NA	1.277392089	NA	NA	0.597954031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.504547688	1.364312079	NA	NA	NA	NA	4.39353465	7
TMEM71	3.051202944	NA	NA	NA	NA	NA	-0.877012889	NA	0.517519347	0.583680711	NA	1.480862722	1.769111821	NA	NA	NA	NA	NA	NA	NA	NA	3.817583125	NA	NA	NA	NA	7
TM6SF1	-1.413784111	2.329447778	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.194008389	NA	-1.670702369	NA	NA	NA	NA	NA	NA	NA	2.820558672	-3.527296095	NA	2.028921909	NA	7
MEST	1.237126056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.929673642	-0.965707975	NA	NA	NA	2.654133781	4.389521781	NA	NA	NA	2.225023995	NA	-3.961904631	7
MARCKS	-2.102720722	1.491293222	NA	NA	NA	NA	-1.527757833	NA	NA	NA	NA	NA	NA	-2.674524081	NA	-1.849696366	NA	NA	NA	NA	1.130143853	NA	NA	NA	NA	4.174682755	7
FCER1G	1.843386278	NA	NA	NA	NA	NA	NA	NA	0.756370276	NA	0.797686921	NA	1.877605663	-3.241088478	NA	NA	NA	NA	NA	-2.937860844	NA	NA	NA	NA	NA	5.350807789	7
ADM	1.996662278	NA	NA	-0.873094394	1.110963148	NA	-1.0097425	NA	NA	NA	NA	NA	1.932546199	-3.635996117	NA	NA	NA	NA	NA	-5.9148445	NA	NA	NA	NA	NA	NA	7
CCNB1	1.496733222	NA	-3.076731278	NA	NA	NA	NA	NA	-0.50112451	-0.89423438	NA	-1.915138222	-1.93233258	NA	NA	NA	NA	NA	NA	NA	-3.077271152	NA	NA	NA	NA	NA	7
ELANE	-2.511184167	-2.4923965	NA	NA	NA	NA	NA	NA	NA	-1.116650022	NA	NA	-3.187652775	NA	NA	NA	NA	NA	NA	NA	-3.753156658	4.035701961	2.858184016	NA	NA	NA	7
LY96	1.585482778	NA	0.966987444	NA	-0.732052904	NA	-1.239805685	NA	NA	NA	NA	NA	NA	-2.804326262	0.738065995	NA	NA	NA	NA	-2.990577063	NA	NA	NA	NA	NA	NA	7
THBS1	-1.755677333	3.321340722	NA	NA	-0.933909614	1.032049594	NA	NA	NA	NA	NA	NA	NA	-2.276188486	NA	NA	NA	NA	NA	-2.443895438	NA	NA	NA	NA	1.91224266	NA	7
TOP2A	2.267785611	-2.612301722	-3.755149778	NA	NA	-1.017933611	NA	NA	-0.628679929	-1.093401412	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.64366595	NA	NA	NA	NA	NA	7
MYCT1	-1.290489389	NA	NA	NA	NA	NA	NA	NA	-2.081287296	-1.151889008	NA	NA	NA	NA	NA	NA	NA	1.032250069	NA	NA	NA	NA	2.146920811	2.070130637	NA	-6.197157417	7
