genes	AML1	AML2	AML3	AML4	AML5	AML6	AML7	AML8	AML9	AML10	AML11	AML12	AML13	AML14	AML15	AML16	AML17	AML18	AML19	AML20	AML21	AML22	AML23	AML24	AML25	AML26
LTB	NA	-0.895159444	NA	NA	NA	NA	-0.805628222	NA	NA	NA	NA	1.461051444	NA	-2.54663657	NA	NA	NA	NA	-2.603342219	NA	NA	NA	NA	NA	NA	NA
FAM46A	NA	-1.092624389	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.215975333	NA	NA	0.793518678	NA	NA	-0.499242917	NA	NA	1.471209975	NA	NA	NA	NA	NA
NR4A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.088663778	NA	-1.829911935	-0.63221992	2.258379439	NA	NA	NA	NA	NA	-6.182393768	NA	NA	NA	NA
RRM2	NA	-1.331316028	-3.574543111	NA	NA	NA	NA	NA	NA	NA	NA	-1.856254222	NA	NA	NA	NA	NA	NA	-2.289906656	NA	-2.569796132	NA	NA	NA	NA	NA
NTN1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.321265944	NA	NA	NA	NA	NA	NA	3.774901828	2.650480516	NA	NA	NA	2.190573504	-5.252904482	NA
EGR2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.553332833	NA	NA	NA	NA	NA	-0.7163525	NA	NA	NA	-5.761560644	-2.765332115	NA	NA	6.501281208
CD69	NA	1.0111155	NA	NA	1.407638339	NA	-1.588512722	NA	NA	NA	NA	1.321615667	NA	NA	NA	2.347726709	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLGN	NA	NA	NA	NA	-1.714071311	NA	NA	NA	NA	NA	NA	NA	-5.329172402	NA	NA	-2.67389403	NA	NA	NA	2.820536031	NA	NA	NA	NA	-3.269480008	NA
JUNB	NA	1.207550667	NA	NA	1.049497006	NA	NA	NA	NA	NA	NA	NA	2.278313126	NA	NA	NA	NA	NA	NA	-3.498673625	NA	-2.849827554	NA	NA	NA	NA
LRCH2	NA	NA	NA	NA	-1.004897183	NA	NA	NA	NA	NA	NA	NA	-3.046195413	NA	-0.550525277	NA	NA	NA	NA	NA	NA	NA	NA	3.273197253	NA	-6.046009401
NFIB	NA	NA	NA	NA	-0.833538449	NA	NA	NA	NA	NA	NA	NA	-2.145255203	NA	-1.454231745	-1.944164471	NA	-1.442275417	NA	NA	NA	NA	NA	NA	NA	NA
MPPED2	NA	NA	NA	-1.423405606	-1.177640006	NA	NA	NA	-0.780152704	NA	NA	NA	-2.993048779	NA	NA	-3.357127132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FERMT1	NA	NA	NA	NA	-0.90980028	NA	NA	NA	NA	NA	NA	NA	-2.001668665	NA	NA	NA	NA	NA	NA	3.124155922	NA	NA	NA	2.221916957	NA	-4.300700846
MCM2	NA	-1.159252111	-1.149641833	NA	-0.842623591	NA	NA	NA	NA	NA	NA	NA	-1.615680432	NA	NA	NA	NA	NA	NA	NA	-1.522003871	NA	NA	NA	NA	NA
AHR	NA	0.887960111	NA	2.051105985	NA	NA	-1.878918889	NA	NA	NA	NA	NA	1.492580521	NA	NA	NA	NA	NA	NA	NA	1.142728236	NA	NA	NA	NA	NA
CXCL16	NA	NA	NA	NA	NA	NA	-1.646743833	NA	NA	NA	NA	NA	2.476615434	NA	NA	NA	NA	-1.211162639	NA	-3.55648325	NA	NA	NA	NA	NA	4.756092225
ADGRG6	NA	NA	NA	NA	-1.57126475	NA	-1.144573676	NA	-1.321823051	NA	NA	NA	-2.805231245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.209787208	NA
FYB1	NA	NA	NA	NA	NA	NA	NA	NA	1.025454398	NA	NA	NA	1.579795256	-2.310064623	NA	NA	NA	NA	NA	NA	NA	3.00957402	NA	NA	-2.367805334	NA
LIMCH1	NA	NA	NA	-1.364294205	-0.878421942	NA	NA	NA	-0.45919698	NA	NA	NA	-1.912409557	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.097009916	NA
HLF	NA	NA	NA	NA	-3.038203363	NA	NA	NA	-2.066489459	NA	NA	NA	-2.755535869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.721368114	-5.596055652
SLC15A3	NA	NA	NA	NA	NA	NA	-1.147023722	NA	NA	NA	NA	NA	2.119383516	-2.369749306	NA	NA	NA	NA	NA	-3.375354531	NA	NA	NA	NA	NA	5.278433995
CXCR2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.548404754	-3.630868065	NA	NA	NA	NA	-5.503030406	-4.806993	NA	4.957586695	NA	NA	NA	NA
ARC	NA	NA	NA	NA	NA	NA	NA	-0.714892537	NA	NA	NA	NA	1.808112919	NA	NA	NA	NA	NA	2.028493391	NA	NA	NA	NA	2.033467402	-4.228772736	NA
IL10RA	NA	2.582385389	NA	NA	NA	NA	-0.965039056	NA	NA	NA	NA	NA	1.976969095	-3.72240652	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.330918629
CCR7	NA	3.220681944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.380679334	NA	NA	NA	NA	NA	NA	-2.194153182	NA	-3.325181167	NA	NA	4.877395636
STEAP4	NA	NA	NA	NA	NA	NA	NA	0.877739824	NA	NA	NA	NA	NA	-4.175716037	NA	NA	NA	NA	-2.932642984	-2.429120813	NA	NA	NA	NA	-4.185737291	NA
SH2D1B	NA	NA	NA	NA	NA	NA	-0.833714083	NA	NA	NA	NA	NA	NA	-2.109958289	NA	NA	NA	NA	-4.970724	-2.730625375	NA	NA	NA	NA	NA	5.498270105
SLC11A1	NA	NA	NA	NA	NA	NA	-1.185069722	NA	NA	NA	NA	NA	NA	-3.656325602	NA	NA	NA	NA	-3.107056547	-4.355403234	NA	2.934007036	NA	NA	NA	NA
THBD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.023710409	NA	NA	NA	NA	NA	-5.574262406	NA	NA	3.447511208	NA	-4.722380196	6.709471208
PADI2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.928296928	NA	NA	NA	NA	-4.116802984	-4.306440609	NA	4.33136402	NA	NA	2.634405603	NA
IL7R	NA	3.079837056	NA	NA	NA	NA	-2.0582865	NA	NA	NA	NA	NA	NA	-4.232864935	NA	NA	NA	NA	-2.953344531	NA	-3.159102739	NA	NA	NA	NA	NA
KLRD1	NA	NA	NA	NA	NA	NA	-1.084035326	NA	NA	NA	NA	NA	NA	-2.767800086	NA	NA	NA	NA	-4.231010656	-2.999286563	-1.798093764	NA	NA	NA	NA	NA
DUSP2	NA	NA	NA	NA	1.165220965	NA	NA	NA	NA	NA	NA	NA	NA	-3.336156613	-1.039671201	NA	NA	NA	NA	-3.229945625	-1.684578244	NA	NA	NA	NA	NA
SERPINA1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.110644442	NA	NA	NA	NA	NA	-3.127135094	NA	3.281510588	-2.471551853	NA	-3.143956574	NA
FOLR3	NA	NA	NA	NA	NA	NA	-0.791241875	NA	NA	NA	NA	NA	NA	-3.750105811	NA	NA	NA	NA	-3.656453719	-3.863284688	NA	3.911575354	NA	NA	NA	NA
S1PR1	NA	1.116428444	NA	-1.392495189	NA	NA	NA	NA	0.84592448	NA	NA	NA	NA	-2.901677522	NA	NA	NA	NA	-2.921145344	NA	NA	NA	NA	NA	NA	NA
CYP4F3	NA	NA	NA	NA	NA	NA	-1.325762611	NA	NA	NA	NA	NA	NA	-3.337054439	NA	NA	NA	NA	-4.389607016	NA	-2.140495608	2.892505449	NA	NA	NA	NA
SYNE2	NA	NA	NA	NA	NA	NA	NA	-0.555542843	NA	NA	NA	NA	NA	-3.053660232	NA	NA	NA	NA	-3.123983109	-2.677016141	-1.30622199	NA	NA	NA	NA	NA
IPCEF1	NA	NA	NA	NA	NA	NA	-0.966494333	NA	NA	NA	NA	NA	NA	-2.769099147	NA	2.108681984	NA	NA	NA	-2.622521625	NA	3.078449825	NA	NA	NA	NA
NLRC4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.028078179	NA	NA	NA	NA	-2.789724313	-4.928236438	NA	3.214494485	NA	NA	NA	4.106569004
CD55	NA	NA	NA	NA	NA	NA	-0.829244528	NA	NA	NA	NA	NA	NA	-1.773892693	0.903242523	NA	NA	NA	NA	NA	-1.139905414	3.359131671	NA	NA	NA	NA
FCGR3A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.381461454	NA	-3.357519196	NA	NA	-4.721983438	-4.668480938	NA	NA	NA	NA	NA	6.015972684
TNFRSF1B	NA	NA	-0.973871389	NA	NA	NA	-1.010427939	NA	NA	NA	NA	NA	NA	-3.558491238	NA	NA	NA	-0.442710556	NA	-2.949348531	NA	NA	NA	NA	NA	NA
TLR8	NA	NA	NA	NA	NA	NA	-1.596636218	NA	NA	NA	NA	NA	NA	-4.06853574	NA	NA	NA	NA	NA	-4.935820906	NA	4.153838661	NA	NA	NA	6.619887221
PRDM1	NA	NA	NA	NA	NA	NA	-0.9564115	NA	NA	NA	NA	NA	NA	-1.724079293	NA	NA	NA	NA	NA	-3.304273	NA	NA	-2.790393782	NA	NA	4.197184325
CLEC4D	NA	NA	NA	NA	NA	-2.480632222	-1.525719833	NA	NA	NA	NA	NA	NA	-4.511304179	NA	NA	NA	NA	NA	-5.049366125	NA	4.276031541	NA	NA	NA	NA
DEPTOR	NA	-1.108044056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.261200897	1.861769611	NA	NA	NA	NA	3.370329813	NA	NA	NA	2.656741907	NA	NA
GZMB	NA	NA	NA	NA	NA	NA	-0.885331333	NA	NA	NA	NA	NA	NA	-2.050994423	NA	NA	NA	NA	NA	-2.807148938	-2.380410729	NA	NA	NA	NA	4.285047332
CYTH4	NA	1.325209333	NA	NA	1.729596596	NA	NA	NA	0.479220077	NA	NA	NA	NA	-1.818832159	NA	NA	NA	NA	NA	-2.60048225	NA	NA	NA	NA	NA	NA
RBM47	NA	NA	NA	NA	NA	NA	-0.789952986	0.487279578	NA	NA	NA	NA	NA	-2.350103002	NA	NA	NA	NA	NA	-3.820083531	NA	NA	NA	NA	NA	4.764059226
GIMAP4	NA	NA	NA	NA	NA	NA	-1.077022444	NA	NA	NA	NA	NA	NA	-2.752734171	NA	NA	NA	NA	-2.777465688	-2.722202625	NA	NA	NA	NA	NA	4.964010435
CCL4	NA	NA	NA	NA	NA	NA	-1.713166861	NA	NA	NA	NA	NA	NA	-3.159341453	NA	NA	NA	NA	NA	NA	-1.616195415	-3.587265925	NA	NA	NA	11.19257805
MAFB	NA	NA	0.845075167	NA	NA	NA	-1.205910333	NA	NA	NA	NA	NA	NA	-2.251912326	NA	NA	NA	NA	NA	-4.031736063	NA	NA	NA	NA	NA	11.14332094
ABCA13	NA	NA	NA	NA	NA	NA	0.776463611	NA	-0.464720209	NA	NA	NA	NA	-2.917354204	NA	NA	NA	NA	-4.421365813	NA	NA	NA	NA	-2.076653853	NA	NA
SERPINB2	NA	NA	NA	NA	NA	NA	-0.845194556	NA	NA	NA	NA	NA	NA	-2.449020892	NA	NA	NA	NA	NA	NA	NA	3.74292484	NA	NA	3.12975045	8.424060375
NRG4	NA	NA	NA	NA	1.173716112	NA	1.413405504	NA	0.644583301	NA	NA	NA	NA	2.294347179	NA	NA	NA	NA	NA	3.648051594	NA	NA	NA	NA	NA	NA
KCTD12	NA	NA	NA	NA	NA	NA	-1.436319167	NA	NA	NA	NA	NA	NA	-2.854478867	1.425543707	NA	NA	-0.72823875	NA	-3.627382719	NA	NA	NA	NA	NA	NA
CLEC11A	NA	-1.055405333	NA	NA	NA	1.041973333	NA	NA	NA	NA	NA	NA	NA	2.045866268	NA	NA	NA	NA	3.229660563	NA	1.756830737	NA	NA	NA	NA	NA
TNFAIP3	NA	1.677577444	NA	NA	NA	NA	-1.871633333	NA	NA	NA	NA	NA	NA	-2.440034983	NA	NA	NA	NA	NA	-3.246905625	-2.065123045	NA	NA	NA	NA	NA
MNDA	NA	NA	NA	NA	NA	NA	-1.921707333	NA	NA	NA	NA	NA	NA	-2.908508813	NA	NA	NA	NA	-2.66407575	NA	NA	4.708809563	NA	NA	NA	4.400017886
TPSB2	NA	NA	NA	NA	1.640042128	NA	NA	NA	0.89865901	NA	NA	NA	NA	1.707361837	NA	NA	NA	NA	NA	NA	1.583909764	NA	NA	2.065654177	NA	NA
CCL3L3	NA	3.865591167	NA	NA	0.767607399	NA	-2.382781694	NA	0.482610219	NA	NA	NA	NA	-2.313013335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HOXA5	NA	NA	NA	NA	NA	NA	0.737148444	NA	NA	NA	NA	NA	NA	2.29889813	NA	NA	NA	NA	NA	3.602590719	1.744500645	NA	NA	2.560276167	NA	NA
MEIS1	NA	NA	NA	NA	NA	NA	0.778536278	NA	-0.749407235	NA	NA	NA	NA	1.801348132	NA	NA	NA	NA	NA	4.986558813	NA	NA	NA	2.274152412	NA	NA
HGF	NA	NA	NA	2.164367727	NA	NA	-1.677541528	NA	0.815960071	NA	NA	NA	NA	2.211468655	NA	NA	NA	-1.522396667	NA	NA	NA	NA	NA	NA	NA	NA
CLEC3B	NA	NA	NA	NA	NA	-1.993495278	NA	NA	NA	NA	NA	NA	NA	NA	2.755423638	NA	NA	NA	NA	NA	NA	-4.164198551	3.320367934	NA	-4.503368008	NA
IL6	NA	2.458694889	NA	NA	NA	NA	-3.340258889	NA	NA	NA	NA	NA	NA	NA	-1.264259359	NA	NA	NA	NA	NA	NA	-5.209739441	NA	NA	NA	13.15323642
PPARGC1A	NA	NA	NA	-1.358806894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.44393721	NA	NA	NA	NA	NA	NA	NA	2.06234742	-2.795289372	5.336249921
CLIC3	NA	NA	-0.976259056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.463019217	NA	NA	-3.511053781	-3.192054688	-1.453443765	NA	NA	NA	NA	NA
KLRK1	NA	NA	NA	NA	NA	NA	-1.463164611	NA	NA	NA	NA	NA	NA	NA	NA	-1.898209523	NA	NA	-3.731638453	-3.583644922	-1.286836721	NA	NA	NA	NA	NA
HSD11B1	NA	NA	NA	-1.100034072	NA	-1.6643175	-0.7640425	NA	NA	NA	NA	NA	NA	NA	NA	-1.802694104	-2.084092042	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGFBP5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.487630608	-3.030711009	NA	2.863795922	NA	NA	-2.891975434	4.014292917	NA	NA	NA
PGF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.435592891	NA	-0.458664097	2.927502781	3.891558281	NA	NA	NA	2.456280491	NA	NA
FOSB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.322984169	NA	NA	NA	-1.240980007	-9.796030826	-3.922643615	NA	NA	6.231227707
HAS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.095084721	NA	NA	NA	NA	NA	-5.677525227	-3.214728698	4.142018233	7.450080628
PRELP	NA	NA	NA	-1.197762424	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.517505069	NA	NA	NA	-2.823460284	3.755432656	NA	-3.226961054	NA
GSTM5	NA	NA	NA	NA	-2.934100238	NA	NA	NA	-0.732779913	NA	NA	NA	NA	NA	NA	NA	NA	-1.490620972	NA	NA	NA	NA	5.671069464	NA	-3.150199586	NA
FAT4	NA	NA	NA	NA	-1.413654851	NA	NA	0.811437679	-0.790237628	NA	NA	NA	NA	NA	NA	NA	NA	-0.504367639	NA	NA	NA	NA	NA	NA	NA	-5.149157545
EGR3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.5982	-2.554593281	-3.599053844	NA	NA	-2.289780926	NA	NA	4.121493881
NDUFA4L2	NA	NA	NA	2.130936402	NA	NA	NA	-0.521818741	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.512358611	NA	NA	NA	-2.89985512	2.421270371	NA	NA	NA
KYNU	NA	2.320815444	NA	NA	NA	NA	-0.860759333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.640207778	NA	NA	NA	NA	NA	NA	-2.595156705	5.709698926
RASL11A	NA	NA	NA	-0.929452292	NA	1.567309907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.207716594	-2.560513984	NA	NA	NA	NA	-2.656293494	NA
NR4A3	NA	NA	NA	NA	NA	NA	-1.018886667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.615672141	-4.985352359	-1.304177695	NA	NA	NA	NA	4.998552081
TCEAL2	NA	NA	NA	NA	-0.808039464	NA	NA	NA	-0.474638148	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.125940188	2.736278031	NA	NA	NA	NA	2.334580769	NA
PCSK9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.391996031	-3.403912422	NA	NA	3.593805182	-2.138139009	NA	-7.449008416
LPAR4	NA	NA	NA	NA	NA	NA	NA	-0.579085537	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.513456422	NA	6.624214483	NA	2.454455956	-2.766300225	NA
OGN	NA	NA	NA	-1.136614205	NA	NA	-1.019563617	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.413621031	NA	NA	NA	2.93444143	-3.69300166	NA
GLDN	NA	NA	NA	-1.207058845	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.904765961	2.873960635	NA	-4.823911362	5.611720106
EMILIN2	NA	NA	NA	NA	0.7955621	NA	-1.010807713	NA	0.540870362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.472474852	NA	-2.038463645	NA
EMCN	NA	NA	NA	1.281372955	-1.785605995	NA	-1.133203519	NA	-0.676222444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.621071595	NA	NA
SERPINE1	NA	NA	NA	NA	NA	1.106516667	NA	0.553253352	0.526297235	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.797787304	4.44806083
CLECL1	4.098466444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.528894694	2.387917989	NA	NA	NA	NA	NA	NA	NA	NA	3.19849069	NA	NA	NA	NA
CTDSPL	-3.238422	-0.889893722	NA	NA	NA	NA	NA	NA	-0.86499376	-0.683410872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AKR1C3	-3.297310278	NA	NA	NA	NA	NA	NA	NA	-0.521203832	NA	NA	NA	NA	NA	NA	NA	NA	-0.582697431	NA	NA	-2.457504085	NA	NA	NA	NA	NA
S100A6	-2.649889611	NA	NA	NA	NA	NA	-1.2201865	NA	NA	NA	NA	1.205382778	NA	NA	0.47354754	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P2RX1	-2.425434611	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.364101348	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.209131581	3.767292008	NA	NA	NA	NA
BEX2	-3.141430778	NA	NA	NA	-1.218925083	NA	NA	NA	-0.760853332	NA	NA	NA	-4.364833897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LY86	2.258786	NA	NA	NA	NA	NA	-1.422259	NA	1.047577903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.972646813	NA	NA	NA	NA	NA	NA
BLVRA	-2.414881667	NA	NA	NA	NA	NA	NA	NA	-0.432027536	NA	NA	NA	NA	-1.88872107	NA	NA	NA	NA	NA	NA	-1.657464473	NA	NA	NA	NA	NA
CCL5	3.110899833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.936331378	NA	NA	NA	NA	-2.5590835	NA	NA	NA	NA	NA	NA	6.356439456
RBPMS2	3.657848167	NA	NA	NA	NA	NA	NA	NA	NA	-0.616762692	NA	1.192018944	NA	NA	NA	NA	NA	NA	-2.119539047	NA	NA	NA	NA	NA	NA	NA
DAPK1	-2.877495833	NA	NA	NA	NA	NA	NA	-0.684158204	NA	NA	NA	NA	NA	NA	1.19763238	NA	NA	-1.074833611	NA	NA	NA	NA	NA	NA	NA	NA
PLIN2	-1.694243944	1.037504056	NA	NA	1.397973664	NA	NA	NA	0.783731796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRSS2	-2.80788	-2.405389611	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.426226089	NA	-5.203835874
TOX	1.807043667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.092979444	NA	2.709559281	NA	NA	2.12374716	NA	NA	NA
ITGA2B	1.979888556	NA	NA	NA	NA	NA	NA	NA	NA	-0.975544745	NA	NA	-1.981274892	NA	NA	NA	NA	NA	NA	NA	-2.114698709	NA	NA	NA	NA	NA
IRAK3	1.314518111	NA	NA	NA	NA	NA	-0.778854111	NA	NA	NA	0.68798253	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.448783846	NA
LAT	-2.295438889	NA	NA	NA	NA	NA	NA	0.55633715	NA	NA	NA	1.192937222	NA	NA	NA	3.115396645	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AURKA	2.640073722	-1.112759222	-2.207802639	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.41781563	NA	NA	NA	NA	NA
HLA-DRA	-1.4197135	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.045341674	NA	NA	NA	NA	NA	NA	-1.486948889	NA	NA	NA	2.901503718	NA	NA	NA	NA
RUNDC3B	2.007347111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.275601812	NA	NA	NA	NA	NA	NA	3.227796849	2.235314226	NA	NA
NUDT11	-1.541889056	NA	NA	NA	-2.477751657	NA	NA	NA	-0.426668413	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.044679443
HBQ1	2.499829833	-0.946330611	NA	NA	NA	-1.293072222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.782486219	NA	NA	NA	NA	NA	NA	NA
MTSS1	2.878178167	1.9169795	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.514489917	NA	-1.889404822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GAPT	-1.163225	NA	NA	NA	NA	NA	NA	NA	NA	-0.585384409	NA	-1.154193556	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.191464864	NA	NA	NA	NA
SCPEP1	1.924367056	NA	NA	NA	NA	NA	-0.943823722	NA	0.575708551	NA	NA	NA	NA	-1.980784675	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FGD5	-2.010268389	NA	NA	NA	NA	NA	NA	NA	-0.680568378	NA	NA	NA	-1.665943923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.58003494
ITM2A	2.175632944	NA	NA	NA	1.00995215	NA	NA	NA	NA	NA	NA	NA	NA	2.492306131	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.454843769	NA
CKAP4	-2.139506167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.116910594	-2.769324375	-1.271631796	NA	NA	NA	NA	NA
LRIG1	1.356272111	2.073580833	NA	NA	-1.428620614	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.484659931	NA	NA	NA	NA	NA	NA	NA	NA
RPL26	-1.398953	NA	NA	1.044071193	NA	NA	NA	NA	NA	-0.707265474	NA	NA	NA	1.725145838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PIM1	2.2489585	1.704880056	NA	NA	NA	NA	NA	NA	NA	0.704062542	NA	1.238555889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ECHDC3	1.126566	NA	NA	0.902510795	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.300339578	NA	NA	NA	NA	-2.645450967	NA
ALDH2	-1.110183111	NA	NA	NA	NA	NA	NA	NA	-0.427393592	NA	NA	NA	NA	-2.55457532	NA	NA	NA	NA	NA	-4.405710656	NA	NA	NA	NA	NA	NA
RHOU	2.454463722	2.513806611	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.10648342	4.88491445
NINJ2	2.449193556	-1.080571222	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.177871056	NA	NA	NA	NA	NA	NA	-2.727716531	NA	NA	NA	NA	NA	NA	NA
SH3BGRL3	-2.115035333	NA	NA	NA	0.793349039	NA	NA	NA	0.62753475	NA	NA	NA	NA	-2.004197723	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TOB1	1.256677778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.892309782	NA	NA	NA	NA	NA	-3.665381594	-1.174565751	NA	NA	NA	NA	NA
SLAMF6	1.321649833	NA	NA	NA	NA	NA	-1.689203278	NA	NA	NA	-0.792347381	NA	NA	-2.681899965	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAM83D	1.184795778	NA	-2.893756333	NA	NA	NA	NA	NA	NA	-0.866808764	NA	-1.816392333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CKB	1.889797667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.622497361	3.027458625	NA	NA	NA	NA	2.258298272	NA	NA
LILRA2	1.857803167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.521874849	NA	NA	NA	NA	NA	-4.370273359	NA	5.05585838	NA	NA	NA	NA
PRKCH	-2.648849278	NA	0.866312611	NA	NA	NA	-0.790294778	NA	NA	NA	NA	NA	NA	-1.855618644	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRC1	1.714912611	-1.783187333	-3.382693306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.180308671	NA	NA	NA	NA	NA
LYZ	-2.084477333	-2.031797167	NA	NA	NA	NA	NA	NA	NA	-1.055749695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.449648057	NA	NA	NA	NA
TMEM243	-1.403131278	NA	NA	NA	-0.861463678	NA	-0.854110778	NA	NA	NA	NA	1.812532222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SDF2L1	-1.339287167	-1.258651222	NA	NA	-0.868091703	NA	NA	NA	NA	NA	NA	-1.948085722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASNS	-1.471646944	1.313715278	NA	NA	NA	NA	0.912025111	NA	NA	NA	NA	3.255810722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
